0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Cluster_Label,Reconstruction_Error,Anomaly
0.0,0.9611415,1.7929951,3.4399493,0.3483412,4.3222103,0.0,1.74388,0.0,0.81263864,2.8305416,0.24420844,2.8820243,1.4404191,2.0577273,0.17687468,0.0,0.0,0.0,0.0,3.7298956,0.0,0.0,2.8782394,1.2781801,1,0.020192466223071505,False
0.0,1.8656616,1.3930411,1.6531777,3.9875557,4.243472,0.0,1.0143759,0.0,1.1934612,1.7026776,0.01663104,1.7740239,2.6543515,0.25146276,1.9052154,0.0,0.0,0.0,0.0,2.5952108,0.0,0.0,3.8525069,1.2042564,0,0.017036801953261405,False
0.0,0.612429,2.7690382,3.6744835,2.255906,3.7308943,0.0,0.901878,0.0,0.2876996,2.7589173,1.1874093,2.6226888,1.7661818,1.2746097,2.4175963,0.0,0.0,0.0,0.0,2.3631916,0.0,0.0,2.8195145,2.8159359,1,0.010511236507467808,False
0.17280348,0.44932193,1.7376761,1.7648972,2.4462087,3.5043113,0.0,1.083587,0.0,2.0750976,2.2417653,1.0945718,0.0,2.1343782,0.6962935,1.5969137,0.0,0.0,0.0,0.0,2.3445876,0.0,0.0,2.473995,4.56755,2,0.01142496816822507,False
0.0,0.6867728,2.4714658,2.0129714,1.647902,3.3913767,0.0,1.8593365,0.0,2.0974126,2.2944098,2.047236,2.4744833,2.1902308,2.3370988,2.6836827,0.0,0.0,0.0,0.0,2.3353899,0.0,0.0,2.518155,4.403087,2,0.014490221455197292,False
0.0,1.357693,2.6664753,2.83306,2.60188,3.281376,0.0,0.0,0.0,0.4005742,3.6759853,1.4885619,2.6454566,2.3058841,1.1879317,3.2619379,0.0,0.0,0.0,0.0,2.4065573,0.0,0.0,2.694394,2.3600352,1,0.03098955493089139,False
0.0,1.8626668,2.5010607,2.3854764,0.5951747,3.7010856,0.0,2.5379775,0.0,2.0894907,2.1034367,0.5942085,1.7310995,0.99045897,3.2927752,0.7097793,0.0,0.0,0.0,0.0,3.0755138,0.0,0.0,2.6280582,2.4662414,2,0.01701106878686508,False
0.0,0.9955168,2.2495995,3.122401,1.0823028,2.8910177,0.0,0.3293091,0.0,0.44433734,2.8417182,1.4706708,3.4411082,1.3439673,1.8834679,2.2977538,0.0,0.0,0.0,0.0,2.362588,0.0,0.0,3.368642,2.1380863,1,0.028973621667661507,False
0.0,1.2379644,1.8160974,0.17363958,3.7503228,3.450419,0.0,1.5397347,0.0,2.3490148,1.6041201,0.6633164,1.1496776,1.6139737,0.9220454,1.936396,0.0,0.0,0.0,0.0,2.424446,0.0,0.0,2.9730937,2.3132782,0,0.017281185479153246,False
0.0,1.0077631,2.6239896,3.8982182,0.8547431,4.1101637,0.0,2.2055407,0.0,0.18875748,2.4121463,1.2456424,3.5363529,1.5087442,2.8520408,1.4279436,0.0,0.0,0.0,0.0,2.978636,0.0,0.0,2.8837345,1.9229251,1,0.015591226479712799,False
0.0,1.1241188,1.976323,2.1625211,2.948472,3.1659074,0.0,1.3413712,0.0,1.9913272,2.3036761,1.2046877,0.17342843,1.6767308,0.94896847,1.9643837,0.0,0.0,0.0,0.0,2.3040583,0.0,0.0,2.9520533,4.5401363,2,0.01611447018760163,False
0.0,1.1879222,1.1731961,3.043046,1.7078121,4.458545,0.0,0.9913334,0.0,0.60457593,2.8254669,0.4400322,1.77831,2.3262777,0.80428916,1.8969553,0.0,0.0,0.0,0.0,2.3240116,0.0,0.0,2.7821088,2.425908,1,0.021363010615034598,False
0.0,1.5296438,1.2086171,2.9524434,1.171767,3.6996543,0.0,0.6931691,0.0,0.6280866,2.4115505,0.79348755,2.2390926,2.7387109,1.1417563,1.9128104,0.0,0.0,0.0,0.0,2.3777204,0.0,0.0,3.3772216,1.959495,1,0.0220979623609677,False
0.0,0.6299526,3.4476485,2.2639325,1.69506,3.1474147,0.0,1.4189394,0.0,1.624408,1.8703725,1.2287954,1.9691474,2.7881105,1.8597527,2.3702776,0.0,0.0,0.0,0.0,2.238929,0.0,0.0,2.4489474,3.6193008,2,0.018902253889615927,False
